"TIME","Vent","Vout"
0.002616393431,0.0173148,-0.0497482
0.002617403532,0.00375727,-0.0500853
0.002618413633,-0.0129012,-0.0503528
0.002619423734,-0.031953,-0.0505644
0.002620433835,-0.0525857,-0.0507363
0.002621443936,-0.073918,-0.0508843
0.002622454037,-0.0950374,-0.0510324
0.002623464138,-0.115041,-0.0511939
0.002624474239,-0.133074,-0.0513884
0.00262548434,-0.148369,-0.0516324
0.002626494441,-0.160276,-0.0519399
0.002627504542,-0.168295,-0.0523221
0.002628514643,-0.172094,-0.052787
0.002629524744,-0.171527,-0.0533387
0.002630534845,-0.166638,-0.0539775
0.002631544946,-0.157658,-0.0546997
0.002632555047,-0.145,-0.055498
0.002633565148,-0.129235,-0.0563615
0.002634575249,-0.111072,-0.0572766
0.00263558535,-0.0913213,-0.0582271
0.002636595451,-0.0708655,-0.0591947
0.002637605552,-0.0506168,-0.0601624
0.002638615653,-0.031478,-0.0611099
0.002639625754,-0.0143035,-0.0620198
0.002640635855,0.000138263,-0.0628756
0.002641645956,0.0111985,-0.0636633
0.002642656057,0.0183762,-0.0643715
0.002643666158,0.0213405,-0.0649924
0.002644676259,0.0199444,-0.0655217
0.00264568636,0.014232,-0.0659591
0.002646696461,0.00443585,-0.0663082
0.002647706562,-0.00903265,-0.0665763
0.002648716663,-0.0256016,-0.0667742
0.002649726764,-0.0445633,-0.0669155
0.002650736865,-0.0651055,-0.0670165
0.002651746966,-0.0863467,-0.0670926
0.002652757067,-0.107375,-0.0671688
0.002653767168,-0.127286,-0.0672574
0.002654777269,-0.145227,-0.0673784
0.00265578737,-0.160429,-0.0675482
0.002656797471,-0.172242,-0.0677808
0.002657807572,-0.180167,-0.0680876
0.002658817673,-0.183872,-0.0684764
0.002659827774,-0.18321,-0.0689513
0.002660837875,-0.178225,-0.0695127
0.002661847976,-0.169149,-0.0701569
0.002662858077,-0.156395,-0.0708766
0.002663868178,-0.140534,-0.0716609
0.002664878279,-0.122273,-0.0724961
0.00266588838,-0.102424,-0.0733662
0.002666898481,-0.0818706,-0.0742524
0.002667908582,-0.0615232,-0.0751387
0.002668918683,-0.0422853,-0.0760039
0.002669928784,-0.0250114,-0.0768309
0.002670938885,-0.0104697,-0.0776033
0.002671948986,0.000690847,-0.0783069
0.002672959087,0.00796938,-0.0789305
0.002673969188,0.0110348,-0.0794661
0.002674979289,0.00974036,-0.0799096
0.00267598939,0.00412992,-0.0802606
0.002676999491,-0.0055638,-0.0805227
0.002678009592,-0.0189295,-0.0807033
0.002679019693,-0.0353952,-0.0808131
0.002680029794,-0.0542533,-0.0808658
0.002681039895,-0.0746915,-0.0808775
0.002682049997,-0.0958283,-0.0808636
0.002683060098,-0.116751,-0.0808496
0.002684070199,-0.136558,-0.0808473
