"TIME","Vout","Vent"
0.008141308363,0.0531115,-0.00418242
0.008142141696,0.053523,-0.0140392
0.00814297503,0.0539346,-0.0198799
0.008143808363,0.0543462,-0.0214349
0.008144641696,0.0547556,-0.018622
0.00814547503,0.055165,-0.01155
0.008146308363,0.0555744,-0.000514174
0.008147141696,0.0559838,0.0140173
0.00814797503,0.0563883,0.031423
0.008148808363,0.0567928,0.050956
0.008149641696,0.0571972,0.0717762
0.00815047503,0.0575946,0.0929872
0.008151308363,0.057992,0.113676
0.008152141696,0.0583894,0.13295
0.00815297503,0.0587797,0.149982
0.008153808363,0.0591699,0.16404
0.008154641696,0.0595527,0.174523
0.00815547503,0.0599355,0.180985
0.008156308363,0.0603183,0.183157
0.008157141696,0.060693,0.180956
0.00815797503,0.0610678,0.174492
0.008158808363,0.0614426,0.16406
0.008159641696,0.0618107,0.150128
0.00816047503,0.0621789,0.133317
0.008161308363,0.0625471,0.114374
0.008162141696,0.0629153,0.0941392
0.00816297503,0.0632793,0.0735091
0.008163808363,0.0636433,0.0533973
